model_id,year,average_price
287,2007,5466666.66666667
287,2008,3066666.33333333
287,2010,7066666.66666667
287,2011,7525000.0
287,2012,7793333.33333333
287,2013,9409000.0
287,2014,9175555.55555556
287,2015,10950000.0
287,2016,8807272.63636364
287,2017,12510482499.875
287,2018,10972000.0
287,2019,13930000.0
287,2020,15826000.0
287,2022,25990000.0
287,2023,30730000.0
288,2012,17060000.0
288,2016,24242500.0
288,2019,33623333.3333333
288,2022,43633333.3333333
291,2012,5530000.0
291,2013,5394444.44444444
291,2014,6150000.0
291,2015,5640000.0
291,2016,6910000.0
291,2017,8022500.0
291,2018,7344285.71428571
291,2019,8592000.0
293,1999,5930000.0
293,2010,11294000.0
293,2011,12928333.3333333
293,2012,16571428.5714286
293,2013,15281538.4615385
293,2014,16585555.5555556
293,2015,20125714.2857143
293,2016,5904889411.70588
293,2017,4191449999.95833
293,2018,25220624.9375
293,2019,32824333.3333333
293,2020,37986538.4230769
293,2021,36450000.0
293,2022,46392500.0
293,2023,63908571.4285714
293,2024,87670000.0
296,2020,33358993333.0
298,2010,7223333.33333333
298,2013,10245000.0
298,2014,11918571.4285714
298,2015,12486000.0
298,2016,13953333.3333333
298,2017,15200666.6666667
298,2018,15462631.5263158
298,2019,17953333.3333333
298,2020,20581818.0909091
298,2021,28023333.3333333
298,2022,31062500.0
298,2023,31226666.6666667
299,2013,6683333.33333333
299,2014,7250000.0
299,2015,8408750.0
299,2016,8083333.33333333
299,2017,8434285.68571429
299,2018,9270833.33333333
299,2019,4010532399.96
299,2020,11063157.8947368
299,2021,11662222.2222222
299,2022,13311428.5714286
303,2013,2666666.66666667
304,2012,1784400.0
304,2013,2500000.0
304,2014,3526666.66666667
306,2019,8720000.0
312,2012,4775000.0
321,2013,11078000.0
321,2014,13250000.0
321,2021,34468000.0
322,2008,6700000.0
322,2012,11432500.0
322,2015,12960000.0
322,2016,17793333.3333333
322,2017,19530000.0
322,2018,21435247.5
322,2019,23126666.6666667
322,2020,31790000.0
322,2022,35180000.0
324,2016,11178000.0
324,2017,10970000.0
324,2018,13117500.0
324,2021,16372500.0
324,2022,17068000.0
325,2010,3330006.66666667
326,2007,6097500.0
326,2009,6231666.66666667
326,2010,7596666.66666667
326,2012,7370000.0
326,2013,8535000.0
326,2014,10525000.0
326,2015,11666250.0
326,2016,12063333.3333333
326,2019,17645714.2857143
328,2005,4580000.0
328,2008,5450000.0
328,2010,6283333.33333333
328,2013,7996666.33333333
328,2014,10630000.0
328,2015,10500000.0
328,2018,15767500.0
328,2019,16156666.6666667
329,2018,10363333.3333333
329,2019,8864000.0
329,2020,10145000.0
332,2012,10923333.3333333
333,2012,6862500.0
333,2013,7732500.0
333,2014,8105000.0
333,2019,13700000.0
334,2005,4133333.33333333
334,2006,4434615.38461538
334,2007,5010000.0
334,2008,5336900.0
334,2009,6127142.85714286
334,2010,7432000.0
334,2011,6988461.46153846
334,2012,8502727.27272727
334,2013,8954214.28571429
334,2014,9575384.61538462
334,2015,9947500.0
334,2016,11878666.6666667
334,2017,12279583.2916667
334,2018,3717106666.62963
334,2019,5276567894.63158
334,2020,15183076.9230769
334,2021,17038823.5294118
334,2022,17692352.8823529
