make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
49,642,2022,1600,58000,0,11,13990000,1,0,0,2
33,410,2022,0,52000,-1,3,9290000,0,0,-1,2
13,201,2020,1500,75800,0,1,12990000,1,0,0,4
23,306,2011,2800,188947,-1,3,5000000,1,0,0,13
64,1372,2022,1600,19700,-1,2,7990000,0,0,-1,2
33,395,2018,1600,102000,-1,0,9000000,0,0,-1,6
33,410,2018,0,73000,-1,5,6400000,0,0,-1,6
49,650,2019,1500,38630,-1,0,19390000,1,1,-1,5
44,595,2015,1500,32100,-1,9,12000000,0,0,-1,9
49,657,2019,1600,40000,-1,11,17990000,0,1,-1,5
43,5586,2019,1500,100000000,-1,3,8390000,0,1,-1,5
4,53,2013,1800,196000,-1,0,9800000,0,1,0,11
31,382,2011,0,120000,-1,11,14900000,0,1,-1,13
27,352,2021,1100,95000,-1,3,5000000,0,0,-1,3
43,5586,2019,1500,57000,-1,3,8390000,0,1,0,5
33,410,2021,0,100000,-1,10,7700000,0,0,-1,3
27,1691,2018,1200,58300,-1,3,8000000,0,0,0,6
59,718,2013,2000,158000,-1,5,7200000,1,1,1,11
27,338,2010,0,239000,-1,0,7000000,0,1,-1,14
202,5643,2020,0,100000,-1,0,1000000,1,0,0,4
20,293,2019,3500,79245,-1,0,31800000,0,1,1,5
64,5900,2021,1600,59000,9,5,11790000,0,0,0,3
11,158,2020,1500,36640,-1,0,6200000,0,0,-1,4
49,654,2022,1500,34000,-1,0,17500000,1,1,0,2
45,598,2016,0,89530,0,1,13490000,0,1,0,8
27,346,2014,0,80000,-1,6,5500000,0,0,-1,10
40,470,2017,1600,118000,-1,0,9500000,0,0,0,7
16,6110,2012,6700,266000,-1,0,2050000,1,1,-1,12
13,208,2023,1500,7000,-1,11,21700000,1,1,0,1
202,5645,2022,3600,25000,-1,0,38990000,0,1,-1,2
27,339,2006,2500,300000,-1,12,3500000,1,0,-1,18
20,293,2016,3500,131500,6,0,25900000,0,1,1,8
13,200,2022,0,14500,-1,2,19990000,1,1,-1,2
43,586,2019,1500,39000,-1,1,7490000,0,1,-1,5
27,350,2005,1800,100000000,-1,6,2650000,0,1,0,19
42,502,2012,0,117000,3,0,23990000,0,1,-1,12
33,5994,2022,1500,8000,0,0,13900000,0,0,0,2
47,620,2019,3500,89000,-1,0,15490000,0,1,-1,5
27,1691,2020,1200,34100,-1,0,8500000,0,0,0,4
49,654,2023,0,21500,-1,3,20990000,0,0,-1,1
31,382,2011,5700,76000,-1,7,12000000,0,1,1,13
31,385,2017,2400,115000,-1,0,10800000,0,1,1,7
49,658,2008,1400,187000,-1,4,3600000,0,0,0,16
43,586,2020,1500,60000,-1,6,6890000,0,0,-1,4
33,5994,2021,2500,22464,-1,11,12990000,0,0,0,3
21,1106,2019,0,100000000,-1,0,5000000,0,0,-1,5
59,721,2014,2000,124255,-1,6,7800000,0,0,0,10
47,609,2020,2500,47,-1,0,12500000,0,1,0,4
61,734,2018,1600,117261,1,0,10580000,0,1,0,6
61,750,1998,1600,330,-1,10,2350000,0,0,-1,26
42,539,2012,0,131200,-1,0,16500000,0,1,-1,12
26,326,2012,2400,130000,-1,0,8500000,0,1,-1,12
47,616,2022,2000,69109,-1,1,16550000,0,0,-1,2
11,156,2015,5300,150000,-1,3,19500000,0,1,1,9
63,762,2020,0,136000,-1,7,15490000,1,0,-1,4
4,6023,2015,0,70000,-1,0,49990000,0,1,-1,9
11,820,2017,1800,87000,-1,4,8500000,0,0,0,7
47,621,2006,3500,180000,-1,0,3800000,0,1,-1,18
60,728,2017,2000,138000,-1,0,12990000,0,1,1,7
49,1360,2008,0,123907,-1,0,8190000,1,0,-1,16
49,813,2016,1600,240000,-1,0,6500000,1,0,-1,8
4,27,2017,2000,77000,-1,3,24000000,0,1,0,7
60,727,2018,2000,45,-1,0,13500000,0,1,1,6
60,1721,2012,0,145000,4,0,19990000,0,1,-1,12
20,285,2015,2000,87500,8,0,6990000,0,0,0,9
60,727,2010,2000,119200,-1,0,7400000,0,1,1,14
61,750,2018,1400,77000,-1,0,8200000,0,0,-1,6
16,236,2021,6700,100000000,-1,0,11290000,0,0,-1,3
31,382,2021,0,84000,-1,11,36900000,0,1,-1,3
29,1686,2021,2000,84500,-1,0,11990000,1,0,0,3
11,149,2010,3600,170000,-1,8,8900000,0,1,1,14
30,1804,2021,0,44633,-1,0,51990000,1,1,1,3
27,5588,2017,1400,65000,-1,2,8400000,0,0,0,7
61,750,2022,1400,60000,-1,7,10200000,0,1,0,2
63,1322,2006,4000,235000,-1,1,9300000,0,1,1,18
27,350,2014,1600,223000,-1,11,7500000,0,0,0,10
64,792,2018,2000,136000,-1,2,16990000,1,1,1,6
43,583,2020,1500,69015,-1,6,11190000,0,0,-1,4
40,474,2014,2200,233000,-1,0,13000000,1,1,1,10
49,810,2017,0,116197,-1,0,7490000,0,0,-1,7
45,598,2019,0,60000,-1,5,13800000,0,0,-1,5
6,117,2011,2000,162000,-1,6,9000000,0,1,0,13
59,718,2009,2000,240000,-1,3,4450000,1,1,1,15
6,116,2014,2000,186000,-1,3,9999999,0,1,-1,10
20,299,2017,0,100000000,-1,5,8990000,1,0,-1,7
59,717,2023,2000,15500,1,0,21990000,0,1,0,1
61,750,2000,0,200000,-1,3,1800000,0,0,-1,24
10,5882,2021,1500,50000,-1,11,9300000,0,0,0,3
38,830,2017,3000,143000,-1,11,10500000,1,0,-1,7
48,636,2023,1500,1590,-1,0,14190000,1,0,0,1
47,1829,2018,1600,48500,-1,5,10500000,0,0,-1,6
49,654,2023,0,100000000,4,0,18290000,0,1,-1,1
10,5879,2021,1500,40000,-1,0,12890000,0,1,-1,3
61,748,2012,1000,137000,-1,5,3850000,0,0,-1,12
33,410,2019,0,30000,-1,3,6700000,0,0,-1,5
45,602,2021,2400,72000,-1,5,13990000,1,0,0,3
6,118,2012,1600,145000,0,0,9290000,0,1,0,12
10,5879,2023,0,17,6,10,14990000,0,1,-1,1
17,1034,2021,2000,35000,-1,0,8490000,0,0,-1,3
45,598,2004,2400,220000,-1,3,5000000,0,1,1,20
55,698,2010,1600,130000,-1,0,4900000,0,0,0,14
60,725,2023,2500,7322,-1,0,31500000,0,1,0,1
49,657,2023,1600,7200,-1,0,23500000,0,1,0,1
49,656,1999,1400,138000,-1,3,2500000,0,0,0,25
11,176,2021,1500,68000,-1,3,14500000,0,0,0,3
64,792,2021,2000,84000,0,8,15980000,1,0,1,3
47,1454,2019,2300,62000,-1,0,24600000,1,1,1,5
11,160,2013,2000,122400,-1,3,5590000,1,1,-1,11
40,475,2020,3200,144270,1,6,19490000,1,1,1,4
45,602,2018,0,170000,-1,1,16900000,1,0,-1,6
45,602,2020,2400,50000,-1,2,24490000,1,1,1,4
7,5904,2020,0,51000,-1,3,10000000,0,0,-1,4
63,760,2022,0,17000,-1,2,21000000,0,0,-1,2
45,1635,2006,0,72000,-1,11,9600000,1,0,-1,18
52,687,2017,0,31000,9,0,7590000,0,0,-1,7
52,683,2017,2500,65000,-1,0,15490000,0,1,1,7
59,1450,2019,1600,29300,-1,0,8500000,0,0,-1,5
33,395,2017,1600,79576,-1,3,7490000,0,0,-1,7
52,684,2017,1500,160000,-1,5,6000000,1,0,0,7
11,180,2008,1400,295441,-1,0,3100000,0,0,-1,16
33,400,2021,0,21000,-1,0,11180000,0,0,-1,3
202,5645,2021,3600,74500,-1,3,36500000,0,1,1,3
64,792,2018,2000,129800,-1,0,13500000,1,0,1,6
40,470,2010,0,188000,-1,2,6000000,0,1,-1,14
31,385,2015,2400,95000,-1,0,7000000,0,1,-1,9
11,144,2008,1600,135400,-1,3,3750000,0,0,0,16
45,602,2021,2400,46000,-1,5,176000000,1,0,-1,3
64,777,2016,1600,90000,-1,0,7500000,0,0,0,8
49,810,2014,0,150000,-1,2,6750000,1,0,-1,10
27,1691,2022,1200,17000,-1,0,10300000,0,0,0,2
27,353,2013,1600,82500,-1,0,6490000,0,0,0,11
29,1685,2019,1500,18000,-1,0,7800000,0,0,0,5
52,5600,2022,1600,29000,-1,0,13690000,0,0,0,2
47,1829,2018,1600,37820,-1,0,13500000,0,1,0,6
17,249,2019,2500,92000,-1,0,7750000,1,0,0,5
13,213,2018,0,103000,-1,2,6650000,1,0,-1,6
40,470,2013,0,128,-1,6,6950000,0,0,-1,11
20,284,2019,3200,88289,-1,0,15200000,1,0,0,5
6,1362,2013,1600,130000,-1,0,8550000,0,0,-1,11
6,123,2015,1500,127000,-1,6,13700000,0,1,-1,9
61,735,2011,1600,88000,-1,1,5990000,0,1,-1,13
33,407,2014,1600,128000,-1,0,6500000,0,0,-1,10
31,389,2015,3200,75000,3,3,14980000,0,1,1,9
45,604,2006,2000,147670,-1,0,3600000,0,1,-1,18
20,293,2015,3700,139000,-1,3,12500000,0,1,0,9
52,685,2016,1600,79000,1,3,6990000,0,0,0,8
17,6167,2023,1500,9263,0,0,16500000,0,1,0,1
31,381,2016,2400,125715,0,0,10500000,0,1,1,8
49,6011,2022,0,21275,-1,0,18990000,1,0,0,2
49,810,2017,1600,72000,-1,0,10350000,1,0,0,7
49,6011,2023,0,7126,-1,0,26590000,0,1,1,1
6,1458,2018,2000,100000,-1,0,24000000,1,1,1,6
11,156,2021,5300,79781,-1,2,36190000,0,1,1,3
4,53,2021,0,69300,-1,0,23990000,0,1,-1,3
42,564,2011,3000,173000,6,0,10990000,0,1,0,13
63,756,2013,1300,160000,-1,11,53000000,0,0,-1,11
47,615,2011,2000,41000,-1,7,5200000,0,0,-1,13
65,793,2019,2000,137700,-1,0,27990000,0,1,1,5
13,213,2013,1600,300000,-1,0,3650000,1,0,-1,11
49,810,2021,1500,20000,-1,7,13500000,1,0,0,3
49,642,2018,0,106300,-1,5,7890000,1,0,-1,6
33,400,2018,0,41382,-1,0,9790000,0,1,-1,6
13,201,2016,1200,102000,-1,0,5590000,0,0,-1,8
61,752,2022,800,53000,-1,5,5000000,0,0,-1,2
47,609,2018,2500,98000,-1,3,11800000,0,1,0,6
61,752,2010,800,144632,-1,0,2800000,0,0,-1,14
27,353,2019,1600,140000,-1,3,7200000,0,0,0,5
29,6026,2019,1600,60230,-1,0,7390000,0,0,0,5
49,647,2011,1400,231000,-1,0,3800000,1,0,-1,13
20,299,2018,1500,172416,3,4,9990000,1,0,0,6
27,353,2010,1400,193000,-1,6,4100000,0,0,0,14
33,410,2011,1100,144000,-1,0,3500000,0,0,-1,13
4,31,2021,0,17500,-1,0,48500000,0,1,-1,3
43,586,2021,1500,37000,3,3,8990000,0,1,-1,3
6,116,2005,2200,179000,-1,0,4500000,0,1,0,19
19,5603,2018,1300,100000,-1,3,7800000,0,0,0,6
29,5889,2023,0,40000,-1,7,13500000,1,0,-1,1
20,293,2014,0,146550,-1,10,22500000,0,1,-1,10
33,410,2023,1200,8800,6,0,9950000,0,1,0,1
40,473,2012,2500,120132,-1,0,6200000,0,1,0,12
27,1691,2021,1200,150000,-1,11,5500000,0,0,0,3
13,208,2019,2000,49000,4,0,16990000,1,1,0,5
33,393,2016,2000,132000,-1,-1,8500000,0,0,1,8
47,613,2012,2500,267000,-1,3,6790000,1,0,-1,12
27,353,2015,1600,145000,-1,3,6700000,0,0,0,9
20,284,2022,0,52000,-1,2,42900000,1,1,-1,2
65,793,2019,2000,86000,0,5,37990000,1,1,1,5
47,613,2010,0,243238,-1,1,6500000,1,0,-1,14
65,795,2022,2000,38100,-1,0,41990000,2,1,1,2
16,838,2016,3300,44510,-1,0,12490000,0,1,-1,8
11,158,2016,1400,48300,-1,3,5190000,0,0,0,8
9,5962,2021,0,27100,6,0,15480000,1,0,-1,3
11,908,2014,0,111000,-1,0,4700000,0,0,-1,10
47,622,2015,2500,186000,-1,0,8500000,1,0,1,9
112,5590,2018,2800,143000,-1,8,17000000,1,1,1,6
40,468,2019,2000,45000,-1,5,13000000,0,0,0,5
43,586,2021,1500,30000,-1,0,7490000,0,0,-1,3
27,334,2011,9000,207000,-1,0,9000000,1,0,1,13
61,744,2017,1300,42000,-1,0,10900000,0,0,-1,7
64,781,1999,0,290000,-1,3,1800000,0,0,-1,25
47,609,2021,2500,62000,-1,1,12990000,0,1,-1,3
40,474,2013,0,114000,8,1,10980000,0,1,-1,11
11,155,2013,1600,80000,-1,3,6500000,0,0,0,11
27,332,2012,3800,126000,4,0,9980000,0,1,1,12
59,719,2012,2000,196500,-1,7,6500000,1,0,0,12
47,1454,2017,0,90206,-1,5,14500000,1,0,-1,7
16,240,2017,2400,101000,-1,0,14590000,0,1,0,7
61,5943,2023,0,22398,-1,0,6990000,0,0,-1,1
16,240,2015,2400,100000,-1,0,8490000,0,1,-1,9
13,213,2010,1600,175000,-1,11,4200000,1,0,-1,14
63,771,2013,4000,145000,-1,6,12500000,0,1,0,11
19,1043,2019,1600,22000,-1,0,10590000,0,1,-1,5
11,143,2007,0,138629,-1,0,6000000,0,1,-1,17
59,719,2014,2000,100,-1,6,7000000,1,0,-1,10
26,329,2022,1500,3500,-1,0,7900000,0,1,0,2
52,685,2016,1600,84000,-1,0,7500000,0,0,0,8
33,393,2017,2000,84000,-1,0,12990000,0,1,-1,7
112,5590,2021,0,121000,-1,0,15500000,1,1,-1,3
13,201,2005,1400,195000,-1,0,2600000,0,0,0,19
49,657,2023,0,5800,-1,0,23500000,0,1,-1,1
42,5596,2019,1500,80000,-1,11,7900000,1,0,0,5
43,5605,2019,2000,51000,-1,0,12990000,0,1,1,5
43,5944,2023,0,17,5,11,15452000,0,0,-1,1
45,600,2018,0,76000,-1,0,27500000,1,1,-1,6
11,820,2017,1800,112000,-1,0,7200000,0,0,0,7
19,6072,2023,1000,6800,1,5,13690000,0,1,0,1
26,324,2016,1800,160000,-1,1,11950000,0,1,0,8
27,1471,2019,1600,81908,-1,0,10690000,0,1,-1,5
63,762,2019,0,62074,-1,9,16800000,1,0,1,5
33,5947,2022,1600,40503,5,0,14490000,0,0,0,2
61,750,2018,1400,92900,0,2,7790000,0,0,0,6
49,5888,2023,1500,21500,-1,0,19700000,1,1,0,1
60,723,2021,2000,70819,-1,1,16300000,0,1,-1,3
11,176,2017,2200,150000,-1,0,13500000,1,1,1,7
19,5603,2020,1800,100000000,-1,2,11790000,0,0,-1,4
11,5917,2022,1500,33174,-1,2,7386555,0,0,0,2
43,5587,2020,0,43806,6,5,8290000,0,1,-1,4
11,160,2015,0,210000,-1,0,4900000,1,0,-1,9
49,813,2016,1600,84000,-1,0,5900000,0,0,0,8
61,748,2011,1000,116542,-1,0,3999000,0,0,0,13
10,134,2014,0,90000,-1,0,5500000,0,0,-1,10
23,311,2011,0,119000,-1,2,5100000,0,0,-1,13
